bus,bus_id,name,annual_TWh,annual_pct,year_peak_valley,year_std,year_peak_hour,year_valley_hour,aug_peak_valley,aug_std,aug_peak_hour,jan_peak_valley,jan_std,jan_peak_hour,season_peak_shift
bus_85,85,봉화,1.1481438511808457,0.20881536175772747,1.1869807812777762,0.05513124803883883,23,17,1.1150786573970102,0.026888494757414186,10,1.2603747773224154,0.07663821095352949,23,13
bus_58,58,서산,9.733012333391148,1.7701636335022002,1.0428406830300128,0.013456852889640311,23,3,1.1160902622418314,0.03774990619264278,13,1.0685722522880754,0.017023300484483327,23,10
bus_53,53,당진,6.554632435524578,1.192104928145813,1.105785767821996,0.029141264822889187,23,21,1.13652576360632,0.038574583534970674,10,1.1542365553195826,0.04320445050415481,23,13
bus_137,137,여수,12.603027788271493,2.292139442408667,1.072346927534784,0.02275256468260959,11,3,1.1428158354317397,0.04806049195103496,13,1.0624658211742013,0.01791744181049923,23,10
bus_165,165,서울산,5.57787454454687,1.0144598951262538,1.08685505434729,0.0289261936736791,10,5,1.1580424774297304,0.051714909801721345,14,1.1099332704232086,0.029947931665002737,8,6
bus_134,134,광양,3.996008569554917,0.7267625691505419,1.0662374807440118,0.01928036731634433,10,21,1.17075269493174,0.054222968806684924,13,1.1017167945788826,0.026166146248149075,23,10
bus_150,150,북포항,5.097369164170331,0.9270693606329786,1.0912760951479414,0.024856088240604313,23,21,1.206470908711811,0.06296508761090938,13,1.1370446116582318,0.03644901482357089,23,10
bus_151,151,포항,5.290962818201367,0.9622786498339044,1.0876751277912324,0.02504577255411296,23,21,1.2146892412760062,0.0655157044127519,13,1.1332132763311114,0.035091112717296015,23,10
bus_51,51,평택,9.519772054201866,1.731381170839153,1.1361857677378635,0.04415776135301816,11,3,1.2206731673796145,0.07220707354998082,13,1.1336928863886784,0.04139287225863203,10,3
bus_167,167,울산,18.646973500114242,3.39136469102581,1.1226083000685996,0.03990575314682759,11,3,1.2238209903172887,0.07323042559834038,14,1.0963158295581659,0.030461337758619166,9,5
bus_57,57,아산,12.846061140422501,2.3363404345547396,1.1497479709494705,0.04916276125186062,10,3,1.2362020179119049,0.07620944706017237,14,1.1486736964462576,0.046670810222060176,9,5
bus_49,49,서평택,13.331822279438962,2.424686845039144,1.162457717148665,0.05305028993113564,11,3,1.2500641626420774,0.08113973387600254,14,1.1631893312749941,0.05090737496490394,10,4
bus_42,42,이천,5.190083480947195,0.9439315104219357,1.1685369547541413,0.05381947120301559,11,3,1.2586044262688425,0.08443016178332655,13,1.177916956143786,0.05276235207186083,10,3
